iter	Passed	Remaining
0	6	6633
1	11	5980
2	17	5905
3	24	6095
4	30	6023
5	35	5930
6	41	5876
7	47	5917
8	52	5822
9	59	5926
10	65	5892
11	72	5933
12	79	6016
13	85	6042
14	92	6045
15	97	5991
16	103	5965
17	108	5932
18	113	5883
19	120	5920
20	127	5946
21	136	6067
22	143	6079
23	148	6051
24	154	6011
25	159	5980
26	166	5986
27	172	5971
28	179	6023
29	189	6134
30	198	6195
31	205	6217
32	212	6222
33	219	6236
34	228	6293
35	236	6322
36	242	6313
37	250	6332
38	257	6336
39	265	6373
40	271	6345
41	278	6344
42	283	6319
43	289	6288
44	295	6274
45	301	6252
46	307	6233
47	313	6212
48	319	6193
49	325	6189
50	332	6182
51	338	6164
52	343	6141
53	349	6116
54	354	6091
55	359	6066
56	366	6060
57	374	6075
58	382	6095
59	391	6132
60	398	6127
61	404	6124
62	411	6116
63	418	6114
64	424	6111
65	431	6112
66	438	6109
67	445	6108
68	451	6093
69	458	6089
70	465	6090
71	471	6073
72	477	6066
73	483	6054
74	490	6054
75	500	6086
76	506	6067
77	512	6056
78	519	6057
79	526	6049
80	531	6034
81	537	6013
82	543	6003
83	549	5991
84	556	5987
85	561	5972
86	569	5976
87	576	5973
88	582	5966
89	588	5947
90	594	5935
91	600	5922
92	608	5931
93	615	5929
94	621	5919
95	627	5908
96	632	5891
97	638	5874
98	643	5859
99	649	5843
100	655	5835
101	662	5832
102	669	5827
103	675	5821
104	683	5822
105	689	5816
106	695	5808
107	702	5804
108	708	5794
109	715	5789
110	721	5775
111	727	5764
112	733	5756
113	739	5745
114	745	5736
115	752	5737
116	759	5731
117	766	5727
118	774	5733
119	781	5732
120	787	5721
121	795	5721
122	801	5714
123	808	5708
124	814	5700
125	820	5692
126	827	5686
127	833	5676
128	839	5669
129	846	5667
130	853	5661
131	860	5656
132	866	5651
133	872	5639
134	879	5637
135	886	5632
136	894	5632
137	901	5628
138	912	5655
139	921	5658
140	927	5651
141	935	5650
142	942	5650
143	949	5644
144	957	5646
145	965	5649
146	972	5645
147	980	5644
148	986	5636
149	994	5638
150	1003	5640
151	1013	5652
152	1020	5649
153	1028	5652
154	1035	5647
155	1043	5646
156	1049	5636
157	1056	5631
