iter	MultiClass
0	1.898195789
1	1.852862597
2	1.81397971
3	1.77680283
4	1.743269628
5	1.712220466
6	1.68330705
7	1.655771857
8	1.629853875
9	1.605128109
10	1.581641577
11	1.56077536
12	1.540362631
13	1.521295729
14	1.501785869
15	1.4840596
16	1.467154971
17	1.45183614
18	1.436892117
19	1.4216875
20	1.408196942
21	1.395228742
22	1.383159981
23	1.370202307
24	1.359195957
25	1.347404378
26	1.336308394
27	1.326304092
28	1.316562718
29	1.30682987
30	1.297604663
31	1.289119112
32	1.280411752
33	1.272783403
34	1.264810788
35	1.257304366
36	1.249950383
37	1.242624536
38	1.23560986
39	1.228838292
40	1.222214248
41	1.215853579
42	1.20976646
43	1.203824441
44	1.198442779
45	1.193234086
46	1.187870188
47	1.182797635
48	1.178271446
49	1.173000446
50	1.168260659
51	1.163505408
52	1.159230137
53	1.154795417
54	1.150692334
55	1.146813903
56	1.143029631
57	1.139284729
58	1.135477308
59	1.131402953
60	1.128053995
61	1.124689884
62	1.121237743
63	1.117452512
64	1.114594785
65	1.111122939
66	1.107896901
67	1.10473195
68	1.101838571
69	1.098767246
70	1.095582184
71	1.092978559
72	1.09030379
73	1.087552417
74	1.085247464
75	1.082557583
76	1.079944223
77	1.077378067
78	1.075036245
79	1.072941068
80	1.070621686
81	1.068413269
82	1.066378394
83	1.064370876
84	1.062232792
85	1.060009912
86	1.057498579
87	1.055486189
88	1.053529957
89	1.051881208
90	1.050027953
91	1.048462637
92	1.046508032
93	1.044504986
94	1.042990015
95	1.041463548
96	1.039642371
97	1.037749394
98	1.035914522
99	1.034554973
100	1.03219574
101	1.030639265
102	1.029013201
103	1.027555448
104	1.026106477
105	1.024765378
106	1.023616293
107	1.022296283
108	1.020805041
109	1.019369733
110	1.017845089
111	1.0163085
112	1.014918643
113	1.013864533
114	1.012852586
115	1.011282844
116	1.010040933
117	1.008916951
118	1.007984555
119	1.006614553
120	1.00539348
121	1.004312111
122	1.002892502
123	1.001696457
124	1.000476208
125	0.9995989393
126	0.9984773289
127	0.9968483555
128	0.9961429169
129	0.9947168603
130	0.9937303471
131	0.9927460901
132	0.9917878938
133	0.9912437358
134	0.9903220283
135	0.9895754727
136	0.9888019167
137	0.9878338032
138	0.986639979
139	0.9859289939
140	0.9847317615
141	0.9842943632
142	0.983339589
143	0.9825386143
144	0.9814177998
145	0.9801970274
146	0.9789044119
147	0.9777513847
148	0.9767200068
149	0.9755376084
150	0.9745521951
151	0.9733210946
152	0.9726762668
153	0.971884183
154	0.9711600923
155	0.9702993044
156	0.9696207348
157	0.9688833199
158	0.9681386104
159	0.9675348485
160	0.9664065386
161	0.9654257988
162	0.9645556318
163	0.9638726019
164	0.963257717
165	0.9624842495
166	0.9612030693
167	0.9602236635
168	0.959771868
169	0.9587879083
170	0.9576478077
171	0.9563881205
172	0.955791579
173	0.9551433268
174	0.9544871432
175	0.953595116
176	0.9528968416
177	0.9523553202
178	0.9518194229
179	0.9510323629
180	0.9503837817
181	0.9498364075
182	0.9492524969
183	0.9484070838
184	0.9475533272
185	0.9470554745
186	0.9460820702
187	0.9450349144
188	0.9445968846
189	0.9438772125
190	0.9432670809
191	0.9423830991
192	0.9416518913
193	0.9411764097
194	0.9409093151
195	0.939647559
196	0.9388364862
197	0.9383580212
198	0.9378315611
199	0.9371132618
200	0.9366171871
201	0.9361389542
202	0.9356750494
203	0.9349907321
204	0.9343780441
205	0.9336416787
206	0.932838459
207	0.9321190488
208	0.9315366068
209	0.9308109162
210	0.9300270714
211	0.9296050832
212	0.9287720981
213	0.928360411
214	0.9277226425
215	0.9272190468
216	0.9268855394
217	0.9264726722
218	0.9258318118
219	0.924988143
220	0.9241669346
221	0.923650593
222	0.9223529631
223	0.9219241
224	0.9214035556
225	0.9203852263
226	0.9198922552
227	0.9191020822
228	0.9186714128
229	0.9177778316
230	0.9173600334
231	0.9169555197
232	0.916322001
233	0.9154099981
234	0.9146814341
235	0.9138492991
236	0.9135031437
237	0.9126267698
238	0.9123641253
239	0.9116712323
240	0.9111401592
241	0.9104205247
242	0.9096839356
243	0.9087657999
244	0.9082932697
245	0.9078137292
246	0.9074933475
247	0.9069367432
248	0.9064682636
249	0.9058748531
250	0.9051921446
251	0.9046521412
252	0.9036993673
253	0.9026233303
254	0.9019899643
255	0.9016068048
256	0.9010051754
257	0.9005027739
258	0.9000967422
259	0.8996130275
260	0.8990375662
261	0.8987471868
262	0.8981912602
263	0.8975583923
264	0.8971691989
265	0.8961422336
266	0.8957426462
267	0.8954453686
268	0.8949131056
269	0.8943726265
270	0.8938390126
271	0.8934800127
272	0.892695703
273	0.8921731274
274	0.8917054579
275	0.8912993157
276	0.8908319409
277	0.8905037639
278	0.8899613156
279	0.8890144994
280	0.8884410925
281	0.8881367057
282	0.887416429
283	0.886921482
284	0.8867670146
285	0.8862105863
286	0.8854544989
287	0.885126048
288	0.8845914128
289	0.8841985106
290	0.883271748
291	0.8824926317
292	0.881866731
293	0.8812454778
294	0.880742191
295	0.8802463065
296	0.8796874568
297	0.8792756679
298	0.8788318607
299	0.8783774189
300	0.8780406609
301	0.8773807589
302	0.8771472839
303	0.8766287844
304	0.8763005612
305	0.8756373395
306	0.8750807616
307	0.8743789533
308	0.873811547
309	0.8733820181
310	0.8731431601
311	0.8728137163
312	0.8724007789
313	0.8720451578
