iter	MultiClass
0	1.8968688
1	1.850738291
2	1.813742008
3	1.776399775
4	1.742771492
5	1.710966787
6	1.681424904
7	1.65314747
8	1.625942331
9	1.601487211
10	1.577748529
11	1.556147228
12	1.534841529
13	1.514949528
14	1.497386448
15	1.479248251
16	1.462710552
17	1.447358923
18	1.43250228
19	1.417538502
20	1.404015544
21	1.390093386
22	1.377282179
23	1.365382982
24	1.353439494
25	1.342164888
26	1.330693928
27	1.321401762
28	1.311851521
29	1.30237094
30	1.292865202
31	1.28300796
32	1.274215133
33	1.266801425
34	1.258512264
35	1.250236573
36	1.242640102
37	1.235283858
38	1.228731878
39	1.222720608
40	1.216056505
41	1.20927161
42	1.203149737
43	1.197677295
44	1.19155728
45	1.185526901
46	1.179523874
47	1.174255811
48	1.169654387
49	1.164329614
50	1.159362322
51	1.154696208
52	1.15018986
53	1.145772865
54	1.141561088
55	1.137196092
56	1.133134558
57	1.129484869
58	1.126280283
59	1.122404782
60	1.119183959
61	1.116083425
62	1.112468221
63	1.108994895
64	1.105977047
65	1.102465567
66	1.099140056
67	1.096227176
68	1.093591893
69	1.090039457
70	1.087195562
71	1.084525251
72	1.081628587
73	1.079001305
74	1.076284595
75	1.073401295
76	1.071179755
77	1.068362318
78	1.066215679
79	1.064193051
80	1.061555616
81	1.059170805
82	1.057113527
83	1.054476636
84	1.052824019
85	1.050637858
86	1.048243329
87	1.046718861
88	1.044852568
89	1.043456678
90	1.041899196
91	1.040229132
92	1.038311843
93	1.036426769
94	1.034789436
95	1.033106754
96	1.031513284
97	1.029858599
98	1.02829362
99	1.026395962
100	1.024964091
101	1.02323591
102	1.021510723
103	1.019990074
104	1.018828132
105	1.017337796
106	1.016241578
107	1.014767675
108	1.013216541
109	1.011758978
110	1.009940364
111	1.008417183
112	1.007303148
113	1.006034193
114	1.004569751
115	1.003328935
116	1.00206233
117	1.000879635
118	0.9998293543
119	0.9985895125
120	0.9971081142
121	0.9956096576
122	0.9945720856
123	0.9932455588
124	0.9922818599
125	0.9911692686
126	0.989758668
127	0.9883573475
128	0.9873602315
129	0.9859352492
130	0.9852738887
131	0.9839387717
132	0.982773653
133	0.9818262797
134	0.9808018394
135	0.9794251716
136	0.9783208924
137	0.9772972003
138	0.9758433666
139	0.975142629
140	0.9741784601
141	0.9728740251
142	0.9717077268
143	0.9704217909
144	0.9695907129
145	0.968047354
146	0.9671782751
147	0.9664165428
148	0.9659167715
149	0.9653067404
150	0.9643659557
151	0.9635373321
152	0.9629383036
153	0.961897
154	0.9608656987
155	0.9598048807
156	0.9587639011
157	0.9578439987
158	0.9572754062
159	0.9562422426
160	0.9553714073
161	0.9544458086
162	0.9539865435
163	0.9529704568
164	0.9524173918
165	0.9515058437
166	0.9505426967
167	0.9498430471
168	0.9488332199
169	0.9480872377
170	0.9474524272
171	0.9465752393
172	0.945680656
173	0.9449089221
174	0.9438603944
175	0.9430454063
176	0.9424652188
177	0.942092449
178	0.941136094
179	0.9404407532
180	0.9397258489
181	0.9392292091
182	0.9386356318
183	0.9379468149
184	0.9373853394
185	0.9371101979
186	0.9365783963
187	0.935480471
188	0.9348549261
189	0.9344851782
190	0.933849709
191	0.9331831104
192	0.932554783
193	0.9318913326
194	0.93098468
195	0.9301171886
196	0.9295668625
197	0.9293340558
198	0.928735285
199	0.9279333943
200	0.9268705692
201	0.9263100759
202	0.9256665105
203	0.9252302424
204	0.9245516346
205	0.9238851219
206	0.9230479316
207	0.922002782
208	0.9212725381
209	0.9208908394
210	0.9202836205
211	0.9194332683
212	0.9186733164
213	0.9183485216
214	0.9175782892
215	0.9171002811
216	0.9164685754
217	0.9159296578
218	0.9153026132
219	0.9150595437
220	0.9146569757
221	0.9142032012
222	0.913791911
223	0.9134724603
224	0.9130293704
225	0.912435557
226	0.9118703262
227	0.9111272285
228	0.910218408
229	0.909611879
230	0.9090435258
231	0.9085640064
232	0.9083944329
233	0.9070922
234	0.9066078712
235	0.905681163
236	0.9053689777
237	0.9044944503
238	0.9036765323
239	0.9031795511
240	0.9025847623
241	0.902238254
242	0.9018699905
243	0.90101241
244	0.9007166962
245	0.9005129156
246	0.8999472923
247	0.8994839446
248	0.8987583446
249	0.8982879516
250	0.8972470863
251	0.8968840753
252	0.8965307876
253	0.8961066876
254	0.8954689228
255	0.8949437111
256	0.8945585893
257	0.8940272979
258	0.8935140467
259	0.8926166765
260	0.8921679668
261	0.8914882393
262	0.8908758121
263	0.8902560514
264	0.8898289245
265	0.8889970101
266	0.8886470552
267	0.8884825246
268	0.8881599839
269	0.8877962352
270	0.8872340359
271	0.8865120764
272	0.8856772827
273	0.8849917827
274	0.8844152684
275	0.8837253445
276	0.8831936355
277	0.8826533205
278	0.8821247489
279	0.8819151397
280	0.8809469001
281	0.8805064686
282	0.8802237326
283	0.879803784
284	0.8792771213
285	0.8784722595
286	0.8777982926
287	0.8770456026
288	0.8765157778
289	0.8759171876
290	0.8756721755
291	0.8753331222
292	0.8747873977
293	0.8739730816
294	0.8735450381
295	0.8731155535
296	0.8725932091
297	0.8719911747
298	0.8712570141
299	0.8706898905
300	0.869800638
301	0.8695803697
302	0.868787813
303	0.868563437
304	0.8681675457
305	0.867881586
306	0.8676615833
307	0.8672556171
308	0.8666424818
309	0.8658472944
310	0.8652881222
311	0.8648055045
312	0.8641136335
313	0.8638401005
314	0.8633627008
315	0.863015702
316	0.8627786299
317	0.8623330474
318	0.8620185457
319	0.8614915222
320	0.8607015798
321	0.8604014271
322	0.8600880159
323	0.8595642214
324	0.8587752981
325	0.8584854083
326	0.8578539545
327	0.8572602097
328	0.8567478571
329	0.85623583
330	0.8558820895
331	0.8552509214
332	0.8547701163
333	0.8541303029
334	0.8533672048
335	0.8530302797
336	0.8523670552
337	0.8519216026
338	0.8513420713
339	0.8506138913
340	0.8499824587
341	0.8495557954
342	0.8489808675
343	0.8486227107
344	0.8481877135
345	0.8478770315
346	0.8476567426
347	0.8470587652
348	0.8464105662
349	0.8460461282
350	0.8453372931
351	0.8451425885
352	0.8446901431
353	0.8444717435
354	0.8443506558
355	0.8434387662
356	0.8431180686
357	0.8427210479
358	0.8424672398
359	0.8419052562
360	0.8414539711
361	0.8410025198
362	0.8402305672
363	0.8396575038
364	0.8389387513
365	0.8382686414
366	0.8375731164
367	0.8370560415
368	0.8368146247
369	0.8359785171
370	0.8350825525
371	0.8344672276
372	0.8342426183
373	0.8338185732
374	0.8331405111
375	0.8325664501
376	0.8321490383
377	0.8314317712
378	0.830871696
379	0.8305086957
380	0.8301645871
381	0.8299296195
382	0.8294901181
383	0.8290467408
384	0.8283485696
385	0.8276551968
386	0.8272823729
387	0.8269224522
388	0.8264813897
389	0.8259693501
390	0.8252812396
391	0.8247189294
392	0.8241113113
393	0.8235951755
394	0.8230391666
395	0.8224638114
396	0.8221077485
397	0.8218862737
398	0.8214678331
399	0.8210314667
400	0.8206258885
401	0.820304812
402	0.8201174073
403	0.8192299844
404	0.818881761
405	0.8181084291
406	0.8177001139
407	0.8174747291
408	0.8166936394
409	0.8163200357
410	0.8157440156
411	0.8154515704
412	0.8150631658
413	0.8146738822
414	0.8143136372
415	0.8135619754
416	0.8133099172
417	0.8128413085
418	0.8122679074
419	0.8120294107
420	0.8117318034
421	0.8114073224
422	0.811110936
423	0.810687516
424	0.8103060509
425	0.8101580714
426	0.8095842103
427	0.8090645924
428	0.8084865696
429	0.8083227147
430	0.8079370124
431	0.8074099374
432	0.8068345369
433	0.8063916947
434	0.8059594992
435	0.8054541712
436	0.8048678263
437	0.8043275018
438	0.8038786835
439	0.8034306266
440	0.8031274223
441	0.8028117098
442	0.8023766344
443	0.8021549834
444	0.8017218038
445	0.8013921282
446	0.8011095144
447	0.8009421215
448	0.800637292
449	0.8002596137
450	0.7997751242
451	0.7993030033
452	0.7989942615
453	0.7988234225
454	0.7982419875
455	0.7977569452
456	0.7975106574
457	0.797303208
458	0.7967756576
459	0.7963450058
460	0.7958410153
461	0.7954505112
462	0.7948711639
463	0.7945022269
464	0.7940470969
465	0.7935516623
466	0.7933429115
467	0.7927853827
468	0.7925722493
469	0.7919709457
470	0.7912808927
471	0.7911312514
472	0.7906641178
473	0.79035774
474	0.7897661683
475	0.7893998342
476	0.7890018138
477	0.7888974031
478	0.7881845624
479	0.7877215128
480	0.7869948685
481	0.7866366397
482	0.786206504
483	0.785708151
484	0.7850860107
485	0.7846265755
486	0.7843602816
487	0.7840676098
488	0.7836964115
489	0.7834147008
490	0.7830705497
491	0.7826771787
492	0.7824324632
493	0.7819703556
494	0.7816520571
495	0.7813562758
496	0.7809559424
497	0.780089061
498	0.7797688487
499	0.7795263495
500	0.7793289415
501	0.7791021142
502	0.7786422463
503	0.7784466803
504	0.7782341893
505	0.77771884
506	0.7773756672
507	0.7768637744
508	0.7761404843
509	0.7757000035
510	0.7753869591
511	0.7751458674
512	0.775018561
513	0.7744490017
514	0.773971788
515	0.7735303929
516	0.773247076
517	0.7728204494
518	0.7721661948
519	0.7718440965
520	0.7713603725
521	0.7710877949
522	0.7706003849
523	0.7703492441
524	0.7699979644
525	0.7697845487
526	0.7691092993
527	0.7686506498
528	0.7684263991
529	0.7678987616
530	0.7672617395
531	0.7669232489
532	0.7663244929
533	0.7656693113
534	0.7650673909
535	0.7647586189
536	0.764459494
537	0.7642360376
538	0.7638637494
539	0.7634711949
540	0.7632734874
541	0.7629336025
542	0.7625393827
543	0.7619560437
544	0.7615068276
545	0.7609177595
546	0.7606104288
547	0.7599865957
548	0.7595914169
549	0.7593365795
550	0.7587464359
551	0.7582491073
552	0.7579004553
553	0.7576802762
554	0.757183085
555	0.7568416621
556	0.7564050578
557	0.755955448
558	0.7556419787
559	0.7554122449
560	0.7550857351
561	0.7548533689
562	0.7545901682
563	0.7541679389
564	0.7537344899
565	0.7534898446
566	0.7529530517
567	0.7521851484
568	0.7516644847
569	0.7513861102
570	0.7512022671
571	0.7507114954
572	0.7503268476
573	0.7499552209
574	0.7496548249
575	0.749383039
576	0.7489784691
577	0.7485390102
578	0.7481244896
579	0.7480053782
580	0.7475450179
581	0.7469572648
582	0.7464660905
583	0.7461806343
584	0.7457778605
585	0.7452853881
586	0.7448754151
587	0.7444878439
588	0.7440890051
