iter	Passed	Remaining
0	6	6189
1	12	6226
2	18	6158
3	24	6001
4	30	6057
5	37	6210
6	44	6307
7	51	6344
8	57	6379
9	66	6544
10	71	6438
11	77	6396
12	83	6374
13	90	6376
14	97	6394
15	103	6357
16	110	6360
17	115	6291
18	120	6224
19	129	6356
20	136	6366
21	145	6452
22	152	6476
23	158	6440
24	165	6444
25	172	6460
26	180	6510
27	188	6539
28	196	6578
29	204	6628
30	212	6657
31	220	6657
32	227	6671
33	233	6634
34	239	6609
35	246	6599
36	257	6690
37	263	6668
38	273	6727
39	280	6743
40	286	6710
41	293	6685
42	299	6659
43	306	6658
44	314	6679
45	322	6697
46	329	6683
47	336	6675
48	344	6694
49	351	6671
50	356	6640
51	363	6618
52	368	6581
53	373	6547
54	380	6535
55	386	6520
56	394	6534
57	402	6530
58	407	6505
59	414	6488
60	421	6483
61	427	6466
62	434	6462
63	441	6459
64	447	6441
65	454	6429
66	460	6410
67	466	6399
68	473	6387
69	479	6376
70	486	6368
71	493	6361
72	499	6343
73	506	6334
74	512	6316
75	517	6296
76	523	6279
77	531	6287
78	538	6282
79	544	6264
80	551	6261
81	558	6254
82	565	6245
83	572	6238
84	579	6241
85	586	6233
86	592	6219
87	599	6217
88	606	6203
89	613	6201
90	622	6222
91	630	6219
92	637	6212
93	643	6198
94	648	6180
95	655	6170
96	661	6157
97	667	6148
98	675	6144
99	682	6140
100	688	6132
101	695	6119
102	700	6100
103	706	6088
104	713	6079
105	722	6094
106	729	6085
107	736	6080
108	743	6073
109	749	6064
110	756	6057
111	761	6040
112	768	6031
113	774	6019
114	780	6009
115	789	6016
116	796	6010
117	802	5999
118	808	5986
119	815	5977
120	822	5975
121	829	5971
122	837	5972
123	844	5966
124	852	5964
125	858	5953
126	865	5946
127	873	5949
128	879	5940
129	886	5933
130	892	5923
131	898	5909
132	905	5902
133	910	5887
134	917	5879
135	925	5882
136	933	5878
137	939	5866
138	946	5860
139	953	5856
140	960	5848
141	966	5839
142	973	5834
143	980	5828
144	986	5819
145	993	5812
146	1000	5803
147	1005	5790
148	1012	5784
149	1020	5782
150	1026	5772
151	1033	5766
152	1041	5763
153	1048	5761
154	1056	5760
155	1063	5752
156	1069	5744
157	1076	5734
158	1082	5727
159	1088	5716
160	1095	5709
161	1102	5702
162	1108	5692
163	1117	5699
164	1124	5692
165	1131	5686
166	1139	5685
167	1147	5682
168	1155	5679
169	1163	5679
170	1172	5682
171	1181	5685
172	1188	5682
173	1196	5678
174	1203	5673
175	1210	5669
176	1224	5693
177	1236	5710
178	1250	5734
179	1261	5748
180	1273	5763
181	1287	5788
182	1297	5794
183	1307	5799
184	1317	5803
185	1324	5795
186	1333	5797
187	1346	5814
188	1353	5806
189	1360	5798
190	1366	5786
191	1372	5776
192	1380	5771
193	1386	5759
194	1392	5750
195	1399	5739
196	1405	5728
197	1412	5720
198	1418	5709
199	1426	5705
200	1433	5697
201	1440	5692
202	1446	5679
203	1453	5672
204	1461	5665
205	1468	5661
206	1475	5652
207	1482	5644
208	1488	5634
209	1494	5623
210	1501	5614
211	1508	5606
212	1514	5596
213	1521	5588
214	1528	5581
215	1534	5568
216	1540	5559
217	1547	5552
218	1555	5546
219	1561	5535
220	1566	5523
221	1573	5514
222	1582	5512
223	1589	5505
224	1596	5499
225	1602	5487
226	1609	5481
227	1615	5471
228	1622	5463
229	1628	5452
230	1635	5444
231	1641	5433
232	1647	5422
233	1655	5418
234	1661	5410
235	1669	5403
236	1675	5394
237	1683	5388
238	1690	5381
239	1697	5375
240	1702	5362
241	1708	5352
242	1714	5342
243	1721	5332
244	1727	5324
245	1734	5314
246	1740	5305
247	1747	5299
248	1753	5290
249	1759	5279
250	1767	5273
251	1774	5266
252	1781	5258
253	1787	5250
254	1794	5244
255	1801	5234
256	1809	5230
257	1815	5221
258	1822	5213
259	1828	5203
260	1835	5196
261	1840	5185
262	1847	5176
263	1852	5164
264	1859	5157
265	1866	5149
266	1873	5144
267	1880	5136
268	1886	5127
269	1894	5122
270	1902	5116
271	1908	5108
272	1916	5104
273	1923	5095
274	1928	5084
275	1936	5079
276	1942	5070
277	1948	5061
278	1955	5053
279	1962	5045
280	1969	5040
281	1976	5032
282	1983	5024
283	1989	5014
284	1994	5004
285	2000	4993
286	2005	4983
287	2011	4973
288	2018	4966
289	2024	4957
290	2030	4947
291	2037	4941
292	2044	4933
293	2050	4924
294	2056	4914
295	2063	4907
296	2070	4900
297	2077	4893
298	2085	4888
299	2093	4885
300	2100	4878
301	2107	4871
302	2116	4867
303	2126	4867
304	2132	4860
305	2139	4852
306	2146	4845
307	2153	4838
308	2163	4837
309	2170	4831
310	2179	4827
311	2187	4824
312	2195	4819
313	2202	4811
314	2209	4804
315	2216	4798
316	2224	4792
317	2232	4787
318	2240	4783
319	2247	4775
320	2254	4769
321	2261	4762
322	2268	4755
323	2276	4749
324	2284	4745
325	2292	4738
326	2298	4731
327	2305	4723
328	2312	4717
329	2319	4710
330	2327	4703
331	2333	4694
332	2339	4685
333	2346	4678
334	2353	4671
335	2360	4664
336	2367	4657
337	2375	4651
338	2382	4646
339	2389	4638
340	2396	4631
341	2403	4623
