iter	MultiClass
0	1.898307492
1	1.853894974
2	1.818898888
3	1.780777094
4	1.747003826
5	1.716344486
6	1.686865797
7	1.658926569
8	1.631224171
9	1.606047141
10	1.582910281
11	1.559909909
12	1.539868696
13	1.520395088
14	1.500890349
15	1.48232779
16	1.465194265
17	1.449018523
18	1.433159271
19	1.418649336
20	1.404235396
21	1.390995316
22	1.378177903
23	1.365839902
24	1.355300792
25	1.344151069
26	1.333103303
27	1.322454211
28	1.312634988
29	1.303389234
30	1.293746673
31	1.284586271
32	1.276011458
33	1.267759596
34	1.259506223
35	1.251401832
36	1.244027875
37	1.236710281
38	1.230131011
39	1.22407094
40	1.217453458
41	1.210541215
42	1.204601621
43	1.19891606
44	1.192877884
45	1.186968157
46	1.181368932
47	1.176142033
48	1.171642133
49	1.166743859
50	1.162196248
51	1.157831056
52	1.15291143
53	1.148844729
54	1.144476824
55	1.14006328
56	1.13630047
57	1.132803301
58	1.129896142
59	1.125614576
60	1.121969384
61	1.118710062
62	1.115402977
63	1.112205746
64	1.1089157
65	1.105944427
66	1.102630902
67	1.099251316
68	1.096259565
69	1.093800271
70	1.090875099
71	1.088202569
72	1.085789367
73	1.082795675
74	1.08041748
75	1.077846935
76	1.075774974
77	1.073426756
78	1.071329887
79	1.069302013
80	1.066891683
81	1.064689285
82	1.062498947
83	1.060441786
84	1.059107167
85	1.056941288
86	1.054313961
87	1.052378733
88	1.050563185
89	1.048700673
90	1.047161776
91	1.045604431
92	1.043796836
93	1.04218421
94	1.040271904
95	1.038901081
96	1.037656679
97	1.036061187
98	1.03423963
99	1.032517907
100	1.031284953
101	1.029833104
102	1.028535737
103	1.02678966
104	1.025631199
105	1.024428659
106	1.022611257
107	1.021032328
108	1.019573443
109	1.018247801
110	1.016477036
111	1.014797783
112	1.013343602
113	1.011768763
114	1.010451833
115	1.009295145
116	1.008271693
117	1.007122542
118	1.005395479
119	1.003910096
120	1.002877957
121	1.001329997
122	0.9999959164
123	0.9984452799
124	0.9971721102
125	0.9959771961
126	0.9950487463
127	0.9937876891
128	0.992571222
129	0.9907305538
130	0.9897889989
131	0.9885565232
132	0.9877907735
133	0.9866479082
134	0.9855834975
135	0.9841666765
136	0.9833411122
137	0.9824910208
138	0.9813016418
139	0.979984567
140	0.9788397173
141	0.9776346694
142	0.9765858183
143	0.9754112135
144	0.9744319871
145	0.9733374448
146	0.9723328646
147	0.97176449
148	0.9711442316
149	0.9704577418
150	0.9697705672
151	0.9689000005
152	0.9680829967
153	0.9669124841
154	0.9663645906
155	0.9657086461
156	0.9650019776
157	0.963961547
158	0.9628869603
159	0.9619363949
160	0.961176656
161	0.9604117638
162	0.9594047806
163	0.9585035311
164	0.9579833827
165	0.9569773583
166	0.9564479157
167	0.9556606009
168	0.954829491
169	0.9541916819
170	0.9536230304
171	0.9529079296
172	0.9518576332
173	0.9510392495
174	0.9504102141
175	0.9495020973
176	0.9491222395
177	0.9485864211
178	0.9477939949
179	0.9474025702
180	0.946550226
181	0.9460157055
182	0.9453797769
183	0.9447427825
184	0.9440379091
185	0.9433159512
186	0.94286743
187	0.9418505147
188	0.941375143
189	0.9406251483
190	0.9397212056
191	0.9393809615
192	0.9380897273
193	0.9371865721
194	0.9362563694
195	0.935660703
196	0.9351918533
197	0.9347947475
198	0.9338974604
199	0.9335360934
200	0.9325639383
201	0.9322360999
202	0.9317557095
203	0.9312212438
204	0.9304031354
205	0.9297162072
206	0.9288306622
207	0.9281725454
208	0.9277268204
209	0.9270914909
210	0.9262104382
211	0.9255591029
212	0.9249682656
213	0.9243838366
214	0.9236472872
215	0.9232132146
216	0.9228160423
217	0.9223737333
218	0.9218315997
219	0.9214159452
220	0.9209622269
221	0.9202901652
222	0.9194518935
223	0.9187424999
224	0.9177523347
225	0.9170684155
226	0.9167393619
227	0.9157752234
228	0.9153052038
229	0.9147409657
230	0.9141150595
231	0.9137255687
232	0.9128935384
233	0.9120656911
234	0.9114848905
235	0.9111210809
236	0.9104299439
237	0.9097446786
238	0.9089374825
239	0.9086715912
240	0.9082622142
241	0.9075944984
242	0.9069760937
243	0.9061929592
244	0.9056512718
245	0.9052633499
246	0.9048501384
247	0.9043864894
248	0.9039080605
249	0.9032916251
250	0.9028467625
251	0.9022880374
252	0.9017627027
253	0.9011234566
254	0.9002503023
255	0.8995500213
256	0.8991542364
257	0.8985762057
258	0.8977083864
259	0.8970534983
260	0.896453024
261	0.895541426
262	0.8952337559
263	0.8944728811
264	0.8940884332
265	0.8935984053
266	0.8929483427
267	0.8923917369
268	0.8920887968
269	0.8915833203
270	0.8909079128
271	0.8902042135
272	0.8896142184
273	0.8891459494
274	0.8887766569
275	0.8879951154
276	0.887417233
277	0.8868409737
278	0.8862720011
279	0.8855707606
280	0.8847701444
281	0.8842345578
282	0.8838428241
283	0.8834978591
284	0.8831287673
285	0.8825477142
286	0.8823242994
287	0.8818310407
288	0.8811062938
289	0.8807139614
290	0.8803293109
291	0.8798926312
292	0.8788816281
293	0.8780519444
294	0.8774389132
295	0.8768582241
296	0.8762953263
297	0.8757904553
298	0.8754213784
299	0.8749150687
300	0.8746178445
301	0.8741762478
302	0.8737380882
303	0.8734830741
304	0.8731092091
305	0.8727242003
306	0.8720771677
307	0.871674261
308	0.8712269766
309	0.8708373699
310	0.8705298853
311	0.8700655864
312	0.8696667928
313	0.8693151962
314	0.869005444
315	0.8683780757
316	0.8676481422
317	0.8670614977
318	0.866631078
319	0.865828251
320	0.8652626076
321	0.8648057569
322	0.8644038076
323	0.8638741771
324	0.8633966413
325	0.8630637549
326	0.8627660957
327	0.8621388586
328	0.8616569923
329	0.8612353539
330	0.8608357234
331	0.8603154549
332	0.8599881959
333	0.8595172473
334	0.8590186923
335	0.8583945474
336	0.8578144473
337	0.8570025143
338	0.8567228741
339	0.8562007849
340	0.855807375
341	0.8554518064
342	0.854675965
343	0.8540448709
344	0.8533044115
345	0.85319476
346	0.8528412701
347	0.8523234495
348	0.8520385022
349	0.8514249636
350	0.850692863
351	0.8503421441
352	0.8499903336
353	0.849782047
354	0.8493502324
355	0.8489692245
356	0.8486032896
357	0.8480791009
358	0.8477732031
359	0.8473406453
360	0.8469139322
361	0.8465171035
362	0.846122233
363	0.8455631454
364	0.8450719689
365	0.8443827067
366	0.8435980611
367	0.8427157677
368	0.8422707718
369	0.841696924
370	0.8411732072
371	0.8406611976
